cleaned_method,target_block,tokens_in_method
"def hi_server(addr):
    while 1:
        ev, val = first(until_eol=True, sleep=3)
        if ev == ""sleep"":
            log.warn(""%s timeout!"" % time.asctime())
        else:
            send(""you said %s"" % val)
","if ev == ""sleep"" :",76
"def checkForNoiseProfile():
    global processingChain
    if sys.platform.startswith(""darwin""):
        # not currently supported
        processingChain = [[""lame"", ""rec.wav"", ""rec.mp3"", ""--noreplaygain"", ""--quiet""]]
    else:
        cmd = [""sox"", processingSrc, ""rec2.wav""]
        if os.path.exists(noiseProfile):
            cmd = cmd + [""noisered"", noiseProfile, NOISE_AMOUNT]
        processingChain[0] = cmd
",if os . path . exists ( noiseProfile ) :,128
"def pytest_collection_modifyitems(items):
    for item in items:
        if item.nodeid.startswith(""tests/contrib/funsor""):
            if ""stage"" not in item.keywords:
                item.add_marker(pytest.mark.stage(""funsor""))
            if ""init"" not in item.keywords:
                item.add_marker(pytest.mark.init(rng_seed=123))
            if ""test_pyroapi"" in item.nodeid and ""test_mean_field_ok"" in item.nodeid:
                item.add_marker(pytest.mark.xfail(reason=""not implemented""))
","if ""test_pyroapi"" in item . nodeid and ""test_mean_field_ok"" in item . nodeid :",160
"def find_element(self, action, suffix, parent):
    element = self.search_scopes(action + suffix)
    if element is not None:
        return element
    if action.endswith(""ByNextToken""):
        element = self.search_scopes(action[: -len(""ByNextToken"")] + suffix)
        if element is not None:
            return self.element_factory(action + suffix, element)
    return self.element_factory(action + suffix, parent)
",if element is not None :,114
"def _to_error(*lines):
    if len(lines) == 1:
        if isinstance(lines[0], (list, tuple)):
            lines = lines[0]
        elif not isinstance(lines[0], (str, unicode)):
            lines = [
                repr(lines[0]),
            ]
    return ""\n"".join(map(lambda x: _to_unicode(x, errors=""replace""), lines))
","elif not isinstance ( lines [ 0 ] , ( str , unicode ) ) :",109
"def primes(n):
    if n == 2:
        return [2]
    elif n < 2:
        return []
    s = list(range(3, n + 1, 2))
    mroot = n ** 0.5
    half = (n + 1) // 2 - 1
    i = 0
    m = 3
    while m <= mroot:
        if s[i]:
            j = (m * m - 3) // 2
            s[j] = 0
            while j < half:
                s[j] = 0
                j += m
        i = i + 1
        m = 2 * i + 3
    return [2] + [x for x in s if x]
",if s [ i ] :,184
"def Poll(
    generator: Callable[[], _T],
    condition: Callable[[_T], bool],
    interval: int = DEFAULT_POLL_INTERVAL,
    timeout: int = DEFAULT_POLL_TIMEOUT,
) -> _T:
    """"""Periodically calls generator function until a condition is satisfied.""""""
    started = time.time()
    while True:
        obj = generator()
        check_result = condition(obj)
        if check_result:
            return obj
        if timeout and (time.time() - started) > timeout:
            raise errors.PollTimeoutError(
                ""Polling on %s timed out after %ds."" % (obj, timeout)
            )
        time.sleep(interval)
",if check_result :,177
"def readlink(self, path):
    path = self._realpath(path)
    try:
        symlink = os.readlink(path)
    except OSError as e:
        return SFTPServer.convert_errno(e.errno)
    # if it's absolute, remove the root
    if os.path.isabs(symlink):
        if symlink[: len(self.ROOT)] == self.ROOT:
            symlink = symlink[len(self.ROOT) :]
            if (len(symlink) == 0) or (symlink[0] != ""/""):
                symlink = ""/"" + symlink
        else:
            symlink = ""<error>""
    return symlink
",if symlink [ : len ( self . ROOT ) ] == self . ROOT :,162
"def parse_drawings_on_layers(self, drawings, f_layer, b_layer):
    front = []
    back = []
    for d in drawings:
        if d[1].GetLayer() not in [f_layer, b_layer]:
            continue
        drawing = self.parse_drawing(d[1])
        if not drawing:
            continue
        if d[0] in [""ref"", ""val""]:
            drawing[d[0]] = 1
        if d[1].GetLayer() == f_layer:
            front.append(drawing)
        else:
            back.append(drawing)
    return {""F"": front, ""B"": back}
",if not drawing :,177
"def getExecutionCode(self, required):
    if self.useMatrixList:
        if ""translations"" in required:
            yield ""translations = self.toTranslations(matrices)""
        if ""rotations"" in required:
            yield ""rotations = self.toRotations(matrices)""
        if ""scales"" in required:
            yield ""scales = self.toScales(matrices)""
    else:
        if ""translation"" in required:
            yield ""translation = matrix.to_translation()""
        if ""rotation"" in required:
            yield ""rotation = matrix.to_euler()""
        if ""scale"" in required:
            yield ""scale = matrix.to_scale()""
","if ""translation"" in required :",173
"def load_files(self):
    """"""Try to load all files specified in arguments.""""""
    if self.filenames:
        for item in self.filenames:
            name_row_col = helpers.get_filename_cursor_pos(item)
            name = name_row_col[""name""]
            if os.path.isdir(name):
                continue
            # Avoid opening duplicate files
            if self.file_is_open(name):
                continue
            if not self.open_file(**name_row_col):
                self.new_file(name)
    # If nothing was loaded
    if not self.files:
        self.load_default()
",if self . file_is_open ( name ) :,177
"def _parse_config(self, config):
    cfg = {}
    for key, value in config.items():
        # If the value is a plain str, we will use the value
        # If the value is a dict, we will extract the name of an environment
        # variable stored under 'env' and optionally a default, stored under
        # 'default'.
        # (This is useful if the database relocates to a different host
        # during the lifetime of the LSH object)
        if isinstance(value, dict):
            if ""env"" in value:
                value = os.getenv(value[""env""], value.get(""default"", None))
        cfg[key] = value
    return cfg
","if ""env"" in value :",177
"def bits_per_symbol(self, value: int):
    if self.__bits_per_symbol != value:
        self.__bits_per_symbol = int(value)
        self._qad = None
        self.bits_per_symbol_changed.emit(self.__bits_per_symbol)
        if not self.block_protocol_update:
            self.protocol_needs_update.emit()
",if not self . block_protocol_update :,101
"def _feed_data(self, program, feed, feed_var_name, scope):
    # feed var to framework
    for op in program.global_block().ops:
        if op.desc.type() == ""feed"":
            feed_target_name = op.desc.output(""Out"")[0]
            cur_feed = feed[feed_target_name]
            if not isinstance(cur_feed, core.LoDTensor):
                cur_feed = _as_lodtensor(cur_feed, self.place)
            idx = op.desc.attr(""col"")
            core.set_feed_variable(scope, cur_feed, feed_var_name, idx)
        else:
            break
","if op . desc . type ( ) == ""feed"" :",183
"def rename_profile(self, profile, newname):
    """"""Rename a profile""""""
    if self.base.profiles.has_key(profile):
        self.base.profiles[newname] = self.base.profiles[profile]
        del self.base.profiles[profile]
        if profile == self.profile:
            self.profile = newname
",if profile == self . profile :,85
"def fsm():
    if tx_rst == 0:
        tx_bit.next = 1
        index.next = 0
        state.next = st.IDLE
    else:
        if state == st.IDLE:
            tx_bit.next = 1
            if tx_valid:  # a pulse
                state.next = st.START
        elif state == st.START:
            tx_bit.next = 0
            index.next = 7
            state.next = st.DATA
        elif state == st.DATA:
            tx_bit.next = tx_byte[index]
            if index == 0:
                state.next = st.IDLE
            else:
                index.next = index - 1
",elif state == st . START :,198
"def __call__(self, form, field):
    # databases allow multiple NULL values for unique columns
    if field.data is None:
        return
    try:
        obj = self.db_session.query(self.model).filter(self.column == field.data).one()
        if not hasattr(form, ""_obj"") or not form._obj == obj:
            if self.message is None:
                self.message = field.gettext(u""Already exists."")
            raise ValidationError(self.message)
    except NoResultFound:
        pass
","if not hasattr ( form , ""_obj"" ) or not form . _obj == obj :",138
